Primary County Coordinates;County;City;Year;Estimate
(43.2842838, -91.3780923);Allamakee;LANSING;2013;982.0
(43.2842838, -91.3780923);Allamakee;WAUKON;2013;3814.0
(43.2842838, -91.3780923);Allamakee;WATERVILLE;2012;142.0
(43.2842838, -91.3780923);Allamakee;POSTVILLE;2012;1902.0
(43.2842838, -91.3780923);Allamakee;NEW ALBIN;2012;517.0
(43.2842838, -91.3780923);Allamakee;HARPERS FERRY;2012;326.0
(43.2842838, -91.3780923);Allamakee;LANSING;2012;975.0
(43.2842838, -91.3780923);Allamakee;BALANCE OF ALLAMAKEE COUNTY;2012;6424.0
(43.2842838, -91.3780923);Allamakee;WAUKON;2012;3850.0
(43.2842838, -91.3780923);Allamakee;POSTVILLE;2011;1917.0
(43.2842838, -91.3780923);Allamakee;NEW ALBIN;2011;519.0
(43.2842838, -91.3780923);Allamakee;WAUKON;2011;3872.0
(43.2842838, -91.3780923);Allamakee;HARPERS FERRY;2011;329.0
(43.2842838, -91.3780923);Allamakee;LANSING;2011;985.0
(43.2842838, -91.3780923);Allamakee;BALANCE OF ALLAMAKEE COUNTY;2011;6443.0
(43.2842838, -91.3780923);Allamakee;WATERVILLE;2011;143.0
(43.2842838, -91.3780923);Allamakee;POSTVILLE;2010;1954.0
(43.2842838, -91.3780923);Allamakee;BALANCE OF ALLAMAKEE COUNTY;2010;6499.0
(43.2842838, -91.3780923);Allamakee;WATERVILLE;2010;144.0
(43.2842838, -91.3780923);Allamakee;HARPERS FERRY;2010;329.0
(43.2842838, -91.3780923);Allamakee;NEW ALBIN;2010;524.0
(43.2842838, -91.3780923);Allamakee;WAUKON;2010;3920.0
(43.2842838, -91.3780923);Allamakee;LANSING;2010;1003.0
(43.2842838, -91.3780923);Allamakee;POSTVILLE;2010;1947.0
(43.2842838, -91.3780923);Allamakee;HARPERS FERRY;2010;328.0
(43.2842838, -91.3780923);Allamakee;BALANCE OF ALLAMAKEE COUNTY;2010;6493.0
(43.2842838, -91.3780923);Allamakee;WAUKON;2010;3897.0
(43.2842838, -91.3780923);Allamakee;LANSING;2010;999.0
(43.2842838, -91.3780923);Allamakee;WATERVILLE;2010;144.0
(43.2842838, -91.3780923);Allamakee;NEW ALBIN;2010;522.0
(40.7431635, -92.8686104);Appanoose;RATHBUN;2017;83.0
(40.7431635, -92.8686104);Appanoose;CINCINNATI;2017;340.0
(40.7431635, -92.8686104);Appanoose;PLANO;2017;67.0
(40.7431635, -92.8686104);Appanoose;MYSTIC;2017;405.0
(40.7431635, -92.8686104);Appanoose;UDELL;2017;45.0
(40.7431635, -92.8686104);Appanoose;BALANCE OF APPANOOSE COUNTY;2017;4422.0
(40.7431635, -92.8686104);Appanoose;EXLINE;2017;153.0
(40.7431635, -92.8686104);Appanoose;UNIONVILLE;2017;96.0
(40.7431635, -92.8686104);Appanoose;CENTERVILLE;2017;5446.0
(40.7431635, -92.8686104);Appanoose;MOULTON;2017;575.0
(40.7431635, -92.8686104);Appanoose;MORAVIA;2017;632.0
(40.7431635, -92.8686104);Appanoose;NUMA;2017;88.0
(40.7431635, -92.8686104);Appanoose;CINCINNATI;2016;346.0
(40.7431635, -92.8686104);Appanoose;MYSTIC;2016;412.0
(40.7431635, -92.8686104);Appanoose;CENTERVILLE;2016;5460.0
(40.7431635, -92.8686104);Appanoose;UDELL;2016;46.0
(40.7431635, -92.8686104);Appanoose;PLANO;2016;68.0
(40.7431635, -92.8686104);Appanoose;NUMA;2016;90.0
(40.7431635, -92.8686104);Appanoose;UNIONVILLE;2016;100.0
(40.7431635, -92.8686104);Appanoose;MORAVIA;2016;644.0
(40.7431635, -92.8686104);Appanoose;RATHBUN;2016;85.0
(40.7431635, -92.8686104);Appanoose;EXLINE;2016;156.0
(40.7431635, -92.8686104);Appanoose;MOULTON;2016;584.0
(40.7431635, -92.8686104);Appanoose;BALANCE OF APPANOOSE COUNTY;2016;4506.0
(40.7431635, -92.8686104);Appanoose;RATHBUN;2015;87.0
(40.7431635, -92.8686104);Appanoose;CENTERVILLE;2015;5494.0
(40.7431635, -92.8686104);Appanoose;MYSTIC;2015;414.0
(40.7431635, -92.8686104);Appanoose;NUMA;2015;90.0
(40.7431635, -92.8686104);Appanoose;PLANO;2015;69.0
(40.7431635, -92.8686104);Appanoose;UNIONVILLE;2015;100.0
(40.7431635, -92.8686104);Appanoose;CINCINNATI;2015;348.0
(40.7431635, -92.8686104);Appanoose;UDELL;2015;46.0
(40.7431635, -92.8686104);Appanoose;BALANCE OF APPANOOSE COUNTY;2015;4527.0
(40.7431635, -92.8686104);Appanoose;EXLINE;2015;157.0
(40.7431635, -92.8686104);Appanoose;MOULTON;2015;591.0
(40.7431635, -92.8686104);Appanoose;MORAVIA;2015;647.0
(40.7431635, -92.8686104);Appanoose;RATHBUN;2014;88.0
(40.7431635, -92.8686104);Appanoose;UDELL;2014;46.0
(40.7431635, -92.8686104);Appanoose;CENTERVILLE;2014;5543.0
(40.7431635, -92.8686104);Appanoose;MOULTON;2014;595.0
(40.7431635, -92.8686104);Appanoose;CINCINNATI;2014;350.0
(40.7431635, -92.8686104);Appanoose;NUMA;2014;91.0
(40.7431635, -92.8686104);Appanoose;EXLINE;2014;158.0
(40.7431635, -92.8686104);Appanoose;MORAVIA;2014;652.0
(40.7431635, -92.8686104);Appanoose;UNIONVILLE;2014;101.0
(40.7431635, -92.8686104);Appanoose;PLANO;2014;69.0
(40.7431635, -92.8686104);Appanoose;MYSTIC;2014;417.0
(40.7431635, -92.8686104);Appanoose;BALANCE OF APPANOOSE COUNTY;2014;4557.0
(40.7431635, -92.8686104);Appanoose;NUMA;2013;91.0
(40.7431635, -92.8686104);Appanoose;MORAVIA;2013;651.0
(40.7431635, -92.8686104);Appanoose;CENTERVILLE;2013;5539.0
(40.7431635, -92.8686104);Appanoose;UNIONVILLE;2013;100.0
(40.7431635, -92.8686104);Appanoose;CINCINNATI;2013;349.0
(40.7431635, -92.8686104);Appanoose;RATHBUN;2013;88.0
(40.7431635, -92.8686104);Appanoose;UDELL;2013;46.0
(40.7431635, -92.8686104);Appanoose;BALANCE OF APPANOOSE COUNTY;2013;4550.0
(40.7431635, -92.8686104);Appanoose;MOULTON;2013;594.0
(40.7431635, -92.8686104);Appanoose;MYSTIC;2013;416.0
(40.7431635, -92.8686104);Appanoose;PLANO;2013;69.0
(40.7431635, -92.8686104);Appanoose;EXLINE;2013;157.0
(40.7431635, -92.8686104);Appanoose;CINCINNATI;2012;352.0
(40.7431635, -92.8686104);Appanoose;EXLINE;2012;158.0
(40.7431635, -92.8686104);Appanoose;RATHBUN;2012;88.0
(40.7431635, -92.8686104);Appanoose;MORAVIA;2012;653.0
(40.7431635, -92.8686104);Appanoose;NUMA;2012;91.0
(40.7431635, -92.8686104);Appanoose;UDELL;2012;46.0
(40.7431635, -92.8686104);Appanoose;CENTERVILLE;2012;5568.0
(40.7431635, -92.8686104);Appanoose;MYSTIC;2012;418.0
(40.7431635, -92.8686104);Appanoose;UNIONVILLE;2012;101.0
(40.7431635, -92.8686104);Appanoose;MOULTON;2012;596.0
(40.7431635, -92.8686104);Appanoose;BALANCE OF APPANOOSE COUNTY;2012;4566.0
(40.7431635, -92.8686104);Appanoose;PLANO;2012;69.0
(40.7431635, -92.8686104);Appanoose;MORAVIA;2011;660.0
(40.7431635, -92.8686104);Appanoose;MOULTON;2011;603.0
(40.7431635, -92.8686104);Appanoose;UDELL;2011;47.0
(40.7431635, -92.8686104);Appanoose;MYSTIC;2011;421.0
(40.7431635, -92.8686104);Appanoose;EXLINE;2011;159.0
(40.7431635, -92.8686104);Appanoose;BALANCE OF APPANOOSE COUNTY;2011;4608.0
(40.7431635, -92.8686104);Appanoose;NUMA;2011;92.0
(40.7431635, -92.8686104);Appanoose;CENTERVILLE;2011;5640.0
(40.7431635, -92.8686104);Appanoose;RATHBUN;2011;89.0
(40.7431635, -92.8686104);Appanoose;PLANO;2011;70.0
(40.7431635, -92.8686104);Appanoose;UNIONVILLE;2011;101.0
(40.7431635, -92.8686104);Appanoose;CINCINNATI;2011;356.0
(40.7431635, -92.8686104);Appanoose;UDELL;2010;47.0
(40.7431635, -92.8686104);Appanoose;CINCINNATI;2010;356.0
(40.7431635, -92.8686104);Appanoose;RATHBUN;2010;89.0
(40.7431635, -92.8686104);Appanoose;CENTERVILLE;2010;5634.0
(40.7431635, -92.8686104);Appanoose;MYSTIC;2010;424.0
(40.7431635, -92.8686104);Appanoose;NUMA;2010;92.0
(40.7431635, -92.8686104);Appanoose;BALANCE OF APPANOOSE COUNTY;2010;4617.0
(40.7431635, -92.8686104);Appanoose;EXLINE;2010;160.0
(40.7431635, -92.8686104);Appanoose;UNIONVILLE;2010;102.0
(40.7431635, -92.8686104);Appanoose;MOULTON;2010;604.0
(40.7431635, -92.8686104);Appanoose;MORAVIA;2010;661.0
(40.7431635, -92.8686104);Appanoose;PLANO;2010;70.0
(40.7431635, -92.8686104);Appanoose;UDELL;2010;47.0
(40.7431635, -92.8686104);Appanoose;MYSTIC;2010;425.0
(40.7431635, -92.8686104);Appanoose;MORAVIA;2010;663.0
(40.7431635, -92.8686104);Appanoose;EXLINE;2010;160.0
(40.7431635, -92.8686104);Appanoose;BALANCE OF APPANOOSE COUNTY;2010;4749.0
(40.7431635, -92.8686104);Appanoose;RATHBUN;2010;89.0
(40.7431635, -92.8686104);Appanoose;CINCINNATI;2010;357.0
(40.7431635, -92.8686104);Appanoose;CENTERVILLE;2010;5528.0
(40.7431635, -92.8686104);Appanoose;PLANO;2010;70.0
(40.7431635, -92.8686104);Appanoose;NUMA;2010;92.0
(40.7431635, -92.8686104);Appanoose;MOULTON;2010;605.0
(40.7431635, -92.8686104);Appanoose;UNIONVILLE;2010;102.0
(41.6845893, -94.9058222);Audubon;BALANCE OF AUDUBON COUNTY;2017;2401.0
(41.6845893, -94.9058222);Audubon;EXIRA;2017;782.0
(41.6845893, -94.9058222);Audubon;GRAY;2017;58.0
(41.6845893, -94.9058222);Audubon;AUDUBON;2017;1937.0
(41.6845893, -94.9058222);Audubon;KIMBALLTON;2017;286.0
(41.6845893, -94.9058222);Audubon;BRAYTON;2017;114.0
(41.6845893, -94.9058222);Audubon;KIMBALLTON;2016;288.0
(41.6845893, -94.9058222);Audubon;GRAY;2016;59.0
(41.6845893, -94.9058222);Audubon;AUDUBON;2016;1957.0
(41.6845893, -94.9058222);Audubon;BRAYTON;2016;115.0
(41.6845893, -94.9058222);Audubon;EXIRA;2016;790.0
(41.6845893, -94.9058222);Audubon;BALANCE OF AUDUBON COUNTY;2016;2426.0
(41.6845893, -94.9058222);Audubon;KIMBALLTON;2015;294.0
(41.6845893, -94.9058222);Audubon;BRAYTON;2015;117.0
(41.6845893, -94.9058222);Audubon;GRAY;2015;60.0
(41.6845893, -94.9058222);Audubon;BALANCE OF AUDUBON COUNTY;2015;2470.0
(41.6845893, -94.9058222);Audubon;AUDUBON;2015;1995.0
(41.6845893, -94.9058222);Audubon;EXIRA;2015;776.0
(41.6845893, -94.9058222);Audubon;EXIRA;2014;786.0
(41.6845893, -94.9058222);Audubon;BRAYTON;2014;117.0
(41.6845893, -94.9058222);Audubon;GRAY;2014;60.0
(41.6845893, -94.9058222);Audubon;KIMBALLTON;2014;298.0
(41.6845893, -94.9058222);Audubon;AUDUBON;2014;2020.0
(41.6845893, -94.9058222);Audubon;BALANCE OF AUDUBON COUNTY;2014;2488.0
(41.6845893, -94.9058222);Audubon;BALANCE OF AUDUBON COUNTY;2013;2522.0
(41.6845893, -94.9058222);Audubon;AUDUBON;2013;2067.0
(41.6845893, -94.9058222);Audubon;KIMBALLTON;2013;303.0
(41.6845893, -94.9058222);Audubon;EXIRA;2013;789.0
(41.6845893, -94.9058222);Audubon;BRAYTON;2013;119.0
(41.6845893, -94.9058222);Audubon;GRAY;2013;61.0
(41.6845893, -94.9058222);Audubon;EXIRA;2012;790.0
(41.6845893, -94.9058222);Audubon;KIMBALLTON;2012;303.0
(41.6845893, -94.9058222);Audubon;BALANCE OF AUDUBON COUNTY;2012;2517.0
(41.6845893, -94.9058222);Audubon;BRAYTON;2012;121.0
(41.6845893, -94.9058222);Audubon;AUDUBON;2012;2073.0
(41.6845893, -94.9058222);Audubon;GRAY;2012;61.0
(41.6845893, -94.9058222);Audubon;BRAYTON;2011;124.0
(41.6845893, -94.9058222);Audubon;GRAY;2011;63.0
(41.6845893, -94.9058222);Audubon;EXIRA;2011;811.0
(41.6845893, -94.9058222);Audubon;KIMBALLTON;2011;312.0
(41.6845893, -94.9058222);Audubon;AUDUBON;2011;2125.0
(41.6845893, -94.9058222);Audubon;BALANCE OF AUDUBON COUNTY;2011;2568.0
(41.6845893, -94.9058222);Audubon;GRAY;2010;63.0
(41.6845893, -94.9058222);Audubon;BRAYTON;2010;127.0
(41.6845893, -94.9058222);Audubon;EXIRA;2010;836.0
(41.6845893, -94.9058222);Audubon;BALANCE OF AUDUBON COUNTY;2010;2589.0
(41.6845893, -94.9058222);Audubon;AUDUBON;2010;2163.0
(41.6845893, -94.9058222);Audubon;KIMBALLTON;2010;320.0
(41.6845893, -94.9058222);Audubon;BALANCE OF AUDUBON COUNTY;2010;2590.0
(41.6845893, -94.9058222);Audubon;GRAY;2010;63.0
(41.6845893, -94.9058222);Audubon;BRAYTON;2010;128.0
(41.6845893, -94.9058222);Audubon;EXIRA;2010;840.0
(41.6845893, -94.9058222);Audubon;KIMBALLTON;2010;322.0
(41.6845893, -94.9058222);Audubon;AUDUBON;2010;2176.0
(42.0801864, -92.0656912);Benton;KEYSTONE;2017;611.0
(42.0801864, -92.0656912);Benton;WALFORD;2017;1053.0
(42.0801864, -92.0656912);Benton;LUZERNE;2017;94.0
(42.0801864, -92.0656912);Benton;BLAIRSTOWN;2017;667.0
(42.0801864, -92.0656912);Benton;ATKINS;2017;1870.0
(42.0801864, -92.0656912);Benton;MOUNT AUBURN;2017;146.0
(42.0801864, -92.0656912);Benton;NEWHALL;2017;843.0
(42.0801864, -92.0656912);Benton;URBANA;2017;1470.0
(42.0801864, -92.0656912);Benton;SHELLSBURG;2017;965.0
(42.0801864, -92.0656912);Benton;VAN HORNE;2017;660.0
(42.0801864, -92.0656912);Benton;NORWAY;2017;526.0
(42.0801864, -92.0656912);Benton;BELLE PLAINE;2017;2441.0
(42.0801864, -92.0656912);Benton;BALANCE OF BENTON COUNTY;2017;8824.0
(42.0801864, -92.0656912);Benton;VINTON;2017;5114.0
(42.0801864, -92.0656912);Benton;GARRISON;2017;358.0
(42.0801864, -92.0656912);Benton;VAN HORNE;2016;661.0
(42.0801864, -92.0656912);Benton;SHELLSBURG;2016;958.0
(42.0801864, -92.0656912);Benton;KEYSTONE;2016;614.0
(42.0801864, -92.0656912);Benton;BELLE PLAINE;2016;2443.0
(42.0801864, -92.0656912);Benton;ATKINS;2016;1833.0
(42.0801864, -92.0656912);Benton;URBANA;2016;1462.0
(42.0801864, -92.0656912);Benton;GARRISON;2016;360.0
(42.0801864, -92.0656912);Benton;WALFORD;2016;1055.0
(42.0801864, -92.0656912);Benton;MOUNT AUBURN;2016;147.0
(42.0801864, -92.0656912);Benton;BALANCE OF BENTON COUNTY;2016;8844.0
(42.0801864, -92.0656912);Benton;NEWHALL;2016;846.0
(42.0801864, -92.0656912);Benton;VINTON;2016;5130.0
(42.0801864, -92.0656912);Benton;LUZERNE;2016;94.0
(42.0801864, -92.0656912);Benton;BLAIRSTOWN;2016;668.0
(42.0801864, -92.0656912);Benton;NORWAY;2016;526.0
(42.0801864, -92.0656912);Benton;VAN HORNE;2015;663.0
(42.0801864, -92.0656912);Benton;NEWHALL;2015;848.0
(42.0801864, -92.0656912);Benton;URBANA;2015;1454.0
(42.0801864, -92.0656912);Benton;WALFORD;2015;1058.0
(42.0801864, -92.0656912);Benton;BALANCE OF BENTON COUNTY;2015;8855.0
(42.0801864, -92.0656912);Benton;SHELLSBURG;2015;946.0
(42.0801864, -92.0656912);Benton;ATKINS;2015;1785.0
(42.0801864, -92.0656912);Benton;NORWAY;2015;529.0
(42.0801864, -92.0656912);Benton;GARRISON;2015;360.0
(42.0801864, -92.0656912);Benton;MOUNT AUBURN;2015;147.0
(42.0801864, -92.0656912);Benton;LUZERNE;2015;94.0
(42.0801864, -92.0656912);Benton;KEYSTONE;2015;612.0
(42.0801864, -92.0656912);Benton;VINTON;2015;5134.0
(42.0801864, -92.0656912);Benton;BELLE PLAINE;2015;2456.0
(42.0801864, -92.0656912);Benton;BLAIRSTOWN;2015;670.0
(42.0801864, -92.0656912);Benton;ATKINS;2014;1746.0
(42.0801864, -92.0656912);Benton;WALFORD;2014;1060.0
(42.0801864, -92.0656912);Benton;MOUNT AUBURN;2014;147.0
(42.0801864, -92.0656912);Benton;GARRISON;2014;361.0
(42.0801864, -92.0656912);Benton;NORWAY;2014;530.0
(42.0801864, -92.0656912);Benton;VAN HORNE;2014;665.0
