County;Year;Month;Volume per capita;County Coordinates
Chickasaw;2012;3;0.04829588;(43.0600414, -92.3176637)
Clarke;2012;3;0.084363559;(41.0290323, -93.7851579)
Clay;2012;3;0.14308283;(43.0825804, -95.1509194)
Clayton;2012;3;0.038656118;(42.8447493, -91.3414328)
Clinton;2012;3;0.107717454;(41.8980358, -90.5319724)
Crawford;2012;3;0.087937424;(42.0372125, -95.3819678)
Dallas;2012;3;0.053412076;(41.6848862, -94.0397374)
Davis;2012;3;0.01669002;(40.7476891, -92.4097173)
Decatur;2012;3;0.022878475;(40.7376827, -93.7862815)
Delaware;2012;3;0.069631043;(42.471211, -91.3673502)
Des Moines;2012;3;0.103197504;(40.9231829, -91.1814707)
Dickinson;2012;3;0.211200662;(43.3779848, -95.1508301)
Dubuque;2012;3;0.113612186;(42.468832, -90.8824564)
Emmet;2012;3;0.102379032;(43.3780225, -94.6784803)
Fayette;2012;3;0.092540944;(42.8625919, -91.8443207)
Floyd;2012;3;0.083679568;(43.0599208, -92.7890033)
Franklin;2012;3;0.070762204;(42.7325458, -93.262473)
Fremont;2012;3;0.008114502;(40.7455892, -95.6046765)
Greene;2012;3;0.061342845;(42.0362394, -94.3968356)
Grundy;2012;3;0.047258842;(42.4018651, -92.7914177)
Guthrie;2012;3;0.036760851;(41.6837548, -94.501055)
Hamilton;2012;3;0.08194176;(42.3837722, -93.7068085)
Hancock;2012;3;0.031804276;(43.0818861, -93.7342723)
Hardin;2012;3;0.135930407;(42.3838803, -93.2404025)
Harrison;2012;3;0.043675993;(41.6828528, -95.8169209)
Henry;2012;3;0.062792536;(40.9879383, -91.5445241)
Howard;2012;3;0.094252043;(43.3567673, -92.3171989)
Humboldt;2012;3;0.075471756;(42.7764686, -94.2071868)
Ida;2012;3;0.125087321;(42.3868747, -95.5134962)
Iowa;2012;3;0.163441924;(41.6863229, -92.065524)
Jackson;2012;3;0.084572343;(42.1717426, -90.5742294)
Jasper;2012;3;0.083731519;(41.6860394, -93.053765)
Jefferson;2012;3;0.044571595;(41.0317596, -91.9488774)
Johnson;2012;3;0.141922534;(41.6715511, -91.5880849)
Jones;2012;3;0.092928322;(42.1212397, -91.1314352)
Keokuk;2012;3;0.020439244;(41.336465, -92.1786426)
Kossuth;2012;3;0.165741919;(43.20413, -94.2067199)
Lee;2012;3;0.132596324;(40.6419764, -91.479264)
Linn;2012;3;0.162882329;(42.0789478, -91.5989646)
Louisa;2012;3;0.026257155;(41.2185073, -91.2596184)
Lucas;2012;3;0.044230155;(41.0293738, -93.3277207)
Lyon;2012;3;0.07317598;(43.380497, -96.2102924)
Madison;2012;3;0.04944686;(41.3307142, -94.0155619)
Mahaska;2012;3;0.049811548;(41.3352035, -92.6409094)
Marion;2012;3;0.067305958;(41.3344515, -93.0994367)
Marshall;2012;3;0.105013047;(42.0358499, -92.9987706)
Mills;2012;3;0.039055335;(41.0334523, -95.6213267)
Mitchell;2012;3;0.073749416;(43.3564124, -92.7890315)
Monona;2012;3;0.079642425;(42.0516663, -95.9599235)
Monroe;2012;3;0.04076056;(41.0297826, -92.8689877)
Montgomery;2012;3;0.095250474;(41.03014, -95.1563758)
Muscatine;2012;3;0.091014466;(41.4839221, -91.1127562)
O'Brien;2012;3;0.134613537;(43.0837527, -95.6248784)
Osceola;2012;3;0.062392391;(43.3785704, -95.6236852)
Page;2012;3;0.090506724;(40.7391444, -95.1501747)
Palo Alto;2012;3;0.105369272;(43.0820643, -94.6781371)
Plymouth;2012;3;0.098561357;(42.7378346, -96.2140431)
Pocahontas;2012;3;0.07015264;(42.7341351, -94.6787466)
Polk;2012;3;0.166992249;(41.6855048, -93.5735335)
Pottawattamie;2012;3;0.128623878;(41.3366123, -95.5423935)
Poweshiek;2012;3;0.130721539;(41.6864422, -92.5314684)
Ringgold;2012;3;0.035000994;(40.7352023, -94.2439719)
Sac;2012;3;0.089266804;(42.3862604, -95.1053946)
Scott;2012;3;0.159131791;(41.6370978, -90.6232428)
Shelby;2012;3;0.069361065;(41.6850926, -95.3102113)
Sioux;2012;3;0.055349149;(43.0826174, -96.1778827)
Story;2012;3;0.133668593;(42.0362415, -93.4650448)
Tama;2012;3;0.050991943;(42.0798117, -92.5325425)
Taylor;2012;3;0.023051741;(40.7374324, -94.6964148)
Union;2012;3;0.100554849;(41.0277304, -94.2423792)
Van Buren;2012;3;0.034795275;(40.7532294, -91.9499871)
Wapello;2012;3;0.091525476;(41.0305845, -92.4094499)
Warren;2012;3;0.053049506;(41.3343735, -93.5613594)
Washington;2012;3;0.069375885;(41.335591, -91.7178676)
Wayne;2012;3;0.03022447;(40.7394702, -93.3273639)
Webster;2012;3;0.093429636;(42.4279662, -94.1817881)
Winnebago;2012;3;0.091829084;(43.3775678, -93.7341955)
Winneshiek;2012;3;0.089315016;(43.2906746, -91.8437074)
Woodbury;2012;3;0.10621703;(42.3897169, -96.0447673)
Worth;2012;3;0.0367511;(43.3773984, -93.2608476)
Wright;2012;3;0.071625067;(42.7331189, -93.7351465)
Adair;2012;4;0.103070434;(41.3307464, -94.4709413)
Adams;2012;4;0.030734203;(41.0289839, -94.6991849)
Allamakee;2012;4;0.105271647;(43.2842838, -91.3780923)
Appanoose;2012;4;0.06986227;(40.7431635, -92.8686104)
Audubon;2012;4;0.053108269;(41.6845893, -94.9058222)
Benton;2012;4;0.039080353;(42.0801864, -92.0656912)
Black Hawk;2012;4;0.186194516;(42.4700957, -92.3088197)
Boone;2012;4;0.098882427;(42.0365493, -93.931671)
Bremer;2012;4;0.10718713;(42.7745873, -92.3180548)
Buchanan;2012;4;0.0936032;(42.4707777, -91.8378392)
Buena Vista;2012;4;0.111082093;(42.7354936, -95.151149)
Butler;2012;4;0.033039327;(42.7315661, -92.7901934)
Calhoun;2012;4;0.07725603;(42.3851848, -94.6404136)
Carroll;2012;4;0.150246477;(42.0362382, -94.8605593)
Cass;2012;4;0.110470837;(41.3314876, -94.9278266)
Cedar;2012;4;0.037804798;(41.7723207, -91.1324125)
Cerro Gordo;2012;4;0.213194406;(43.0815577, -93.2608184)
Cherokee;2012;4;0.105854311;(42.7356226, -95.6238055)
Chickasaw;2012;4;0.062498779;(43.0600414, -92.3176637)
Clarke;2012;4;0.09384006;(41.0290323, -93.7851579)
Clay;2012;4;0.130254534;(43.0825804, -95.1509194)
Clayton;2012;4;0.062881101;(42.8447493, -91.3414328)
Clinton;2012;4;0.093699179;(41.8980358, -90.5319724)
Crawford;2012;4;0.114509034;(42.0372125, -95.3819678)
Dallas;2012;4;0.088451424;(41.6848862, -94.0397374)
Davis;2012;4;0.024986792;(40.7476891, -92.4097173)
Decatur;2012;4;0.034660677;(40.7376827, -93.7862815)
Delaware;2012;4;0.095897056;(42.471211, -91.3673502)
Des Moines;2012;4;0.111124012;(40.9231829, -91.1814707)
Dickinson;2012;4;0.301886079;(43.3779848, -95.1508301)
Dubuque;2012;4;0.128220082;(42.468832, -90.8824564)
Emmet;2012;4;0.099331653;(43.3780225, -94.6784803)
Fayette;2012;4;0.096851156;(42.8625919, -91.8443207)
Floyd;2012;4;0.112224017;(43.0599208, -92.7890033)
Franklin;2012;4;0.065695118;(42.7325458, -93.262473)
Greene;2012;4;0.059995644;(42.0362394, -94.3968356)
Grundy;2012;4;0.039036174;(42.4018651, -92.7914177)
Guthrie;2012;4;0.039910772;(41.6837548, -94.501055)
Hamilton;2012;4;0.080881431;(42.3837722, -93.7068085)
Hancock;2012;4;0.04624385;(43.0818861, -93.7342723)
Hardin;2012;4;0.151446595;(42.3838803, -93.2404025)
Harrison;2012;4;0.049563385;(41.6828528, -95.8169209)
Henry;2012;4;0.07149032;(40.9879383, -91.5445241)
Howard;2012;4;0.129989524;(43.3567673, -92.3171989)
Humboldt;2012;4;0.100629694;(42.7764686, -94.2071868)
Ida;2012;4;0.097025415;(42.3868747, -95.5134962)
Iowa;2012;4;0.174952711;(41.6863229, -92.065524)
Jackson;2012;4;0.083672308;(42.1717426, -90.5742294)
Jasper;2012;4;0.066254518;(41.6860394, -93.053765)
Jefferson;2012;4;0.069135638;(41.0317596, -91.9488774)
Johnson;2012;4;0.167382277;(41.6715511, -91.5880849)
Jones;2012;4;0.080568182;(42.1212397, -91.1314352)
Keokuk;2012;4;0.020527477;(41.336465, -92.1786426)
Kossuth;2012;4;0.158131248;(43.20413, -94.2067199)
Lee;2012;4;0.118225212;(40.6419764, -91.479264)
Linn;2012;4;0.16017333;(42.0789478, -91.5989646)
Louisa;2012;4;0.036046675;(41.2185073, -91.2596184)
Lucas;2012;4;0.054103558;(41.0293738, -93.3277207)
Lyon;2012;4;0.062192736;(43.380497, -96.2102924)
Madison;2012;4;0.064798568;(41.3307142, -94.0155619)
Mahaska;2012;4;0.055251641;(41.3352035, -92.6409094)
Marion;2012;4;0.077721097;(41.3344515, -93.0994367)
Marshall;2012;4;0.074642622;(42.0358499, -92.9987706)
Mills;2012;4;0.046462045;(41.0334523, -95.6213267)
Mitchell;2012;4;0.081248249;(43.3564124, -92.7890315)
Monona;2012;4;0.099262845;(42.0516663, -95.9599235)
Monroe;2012;4;0.054398613;(41.0297826, -92.8689877)
Montgomery;2012;4;0.120899431;(41.03014, -95.1563758)
Muscatine;2012;4;0.100267382;(41.4839221, -91.1127562)
O'Brien;2012;4;0.157225519;(43.0837527, -95.6248784)
Osceola;2012;4;0.059954861;(43.3785704, -95.6236852)
Page;2012;4;0.102767544;(40.7391444, -95.1501747)
Palo Alto;2012;4;0.102216712;(43.0820643, -94.6781371)
Plymouth;2012;4;0.113627427;(42.7378346, -96.2140431)
Pocahontas;2012;4;0.097898053;(42.7341351, -94.6787466)
Polk;2012;4;0.18474981;(41.6855048, -93.5735335)
Pottawattamie;2012;4;0.14822315;(41.3366123, -95.5423935)
Poweshiek;2012;4;0.092629075;(41.6864422, -92.5314684)
Ringgold;2012;4;0.049148936;(40.7352023, -94.2439719)
Sac;2012;4;0.089972444;(42.3862604, -95.1053946)
Scott;2012;4;0.161306859;(41.6370978, -90.6232428)
Shelby;2012;4;0.088168885;(41.6850926, -95.3102113)
Sioux;2012;4;0.072322507;(43.0826174, -96.1778827)
Story;2012;4;0.178500927;(42.0362415, -93.4650448)
Tama;2012;4;0.042201588;(42.0798117, -92.5325425)
Taylor;2012;4;0.025007985;(40.7374324, -94.6964148)
Union;2012;4;0.114733704;(41.0277304, -94.2423792)
Van Buren;2012;4;0.03673916;(40.7532294, -91.9499871)
Wapello;2012;4;0.096718701;(41.0305845, -92.4094499)
Warren;2012;4;0.060575475;(41.3343735, -93.5613594)
Washington;2012;4;0.072753961;(41.335591, -91.7178676)
Wayne;2012;4;0.049780272;(40.7394702, -93.3273639)
Webster;2012;4;0.118355265;(42.4279662, -94.1817881)
Winnebago;2012;4;0.121604344;(43.3775678, -93.7341955)
Winneshiek;2012;4;0.124205448;(43.2906746, -91.8437074)
Woodbury;2012;4;0.144667025;(42.3897169, -96.0447673)
Worth;2012;4;0.038666844;(43.3773984, -93.2608476)
Wright;2012;4;0.080941556;(42.7331189, -93.7351465)
Adair;2012;5;0.108031601;(41.3307464, -94.4709413)
Adams;2012;5;0.051992837;(41.0289839, -94.6991849)
Allamakee;2012;5;0.099701471;(43.2842838, -91.3780923)
Appanoose;2012;5;0.111290729;(40.7431635, -92.8686104)
Audubon;2012;5;0.088951407;(41.6845893, -94.9058222)
Benton;2012;5;0.062204676;(42.0801864, -92.0656912)
Black Hawk;2012;5;0.176816699;(42.4700957, -92.3088197)
Boone;2012;5;0.116431113;(42.0365493, -93.931671)
Bremer;2012;5;0.145091666;(42.7745873, -92.3180548)
Buchanan;2012;5;0.142395466;(42.4707777, -91.8378392)
Buena Vista;2012;5;0.150579224;(42.7354936, -95.151149)
Butler;2012;5;0.030389931;(42.7315661, -92.7901934)
Calhoun;2012;5;0.082846907;(42.3851848, -94.6404136)
Carroll;2012;5;0.226684422;(42.0362382, -94.8605593)
Cass;2012;5;0.178315205;(41.3314876, -94.9278266)
Cedar;2012;5;0.078070338;(41.7723207, -91.1324125)
Cerro Gordo;2012;5;0.205039366;(43.0815577, -93.2608184)
Cherokee;2012;5;0.096869616;(42.7356226, -95.6238055)
Chickasaw;2012;5;0.049923465;(43.0600414, -92.3176637)
Clarke;2012;5;0.102756664;(41.0290323, -93.7851579)
Clay;2012;5;0.247159008;(43.0825804, -95.1509194)
Clayton;2012;5;0.049718074;(42.8447493, -91.3414328)
Clinton;2012;5;0.128004928;(41.8980358, -90.5319724)
Crawford;2012;5;0.159638631;(42.0372125, -95.3819678)
Dallas;2012;5;0.10590792;(41.6848862, -94.0397374)
Davis;2012;5;0.021104858;(40.7476891, -92.4097173)
Decatur;2012;5;0.028641496;(40.7376827, -93.7862815)
Delaware;2012;5;0.081323806;(42.471211, -91.3673502)
Des Moines;2012;5;0.155803789;(40.9231829, -91.1814707)
Dickinson;2012;5;0.598581305;(43.3779848, -95.1508301)
Dubuque;2012;5;0.160919393;(42.468832, -90.8824564)
Emmet;2012;5;0.166245968;(43.3780225, -94.6784803)
Fayette;2012;5;0.120709538;(42.8625919, -91.8443207)
Floyd;2012;5;0.107564764;(43.0599208, -92.7890033)
Franklin;2012;5;0.107296603;(42.7325458, -93.262473)
Fremont;2012;5;0.005978443;(40.7455892, -95.6046765)
Greene;2012;5;0.056984317;(42.0362394, -94.3968356)
Grundy;2012;5;0.046259646;(42.4018651, -92.7914177)
Guthrie;2012;5;0.059225764;(41.6837548, -94.501055)
Hamilton;2012;5;0.107323714;(42.3837722, -93.7068085)
Hancock;2012;5;0.064220413;(43.0818861, -93.7342723)
Hardin;2012;5;0.180992626;(42.3838803, -93.2404025)
Harrison;2012;5;0.064983074;(41.6828528, -95.8169209)
Henry;2012;5;0.080570814;(40.9879383, -91.5445241)
Howard;2012;5;0.132389483;(43.3567673, -92.3171989)
Humboldt;2012;5;0.136945159;(42.7764686, -94.2071868)
Ida;2012;5;0.122770126;(42.3868747, -95.5134962)
Iowa;2012;5;0.226491933;(41.6863229, -92.065524)
Jackson;2012;5;0.137943284;(42.1717426, -90.5742294)
Jasper;2012;5;0.100716515;(41.6860394, -93.053765)
Jefferson;2012;5;0.099890212;(41.0317596, -91.9488774)
Johnson;2012;5;0.151486076;(41.6715511, -91.5880849)
Jones;2012;5;0.13888549;(42.1212397, -91.1314352)
Keokuk;2012;5;0.027552508;(41.336465, -92.1786426)
Kossuth;2012;5;0.239543684;(43.20413, -94.2067199)
